[level_0]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 1
patron0_type = 1
patron0_num = 1
patron0_delay = 5


[level_1]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 3
patron0_type = 0
patron0_num = 2
patron0_delay = 2
patron1_type = 1
patron1_num = 3
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 5

[level_2]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 5
patron0_type = 1
patron0_num = 4
patron0_delay = 2
patron1_type = 0
patron1_num = 4
patron1_delay = 2
patron2_type = 1
patron2_num = 2
patron2_delay = 20
patron3_type = 0
patron3_num = 3
patron3_delay = 4
patron4_type = 1
patron4_num = 1
patron4_delay = 5

[level_3]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 7
patron0_type = 0
patron0_num = 2
patron0_delay = 2
patron1_type = 1
patron1_num = 3
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 2
patron3_type = 1
patron3_num = 4
patron3_delay = 15
patron4_type = 0
patron4_num = 1
patron4_delay = 2
patron5_type = 1
patron5_num = 2
patron5_delay = 2
patron6_type = 0
patron6_num = 2
patron6_delay = 5

[level_4]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 8
patron0_type = 1
patron0_num = 2
patron0_delay = 2
patron1_type = 0
patron1_num = 3
patron1_delay = 2
patron2_type = 1
patron2_num = 1
patron2_delay = 2
patron3_type = 0
patron3_num = 4
patron3_delay = 14
patron4_type = 1
patron4_num = 2
patron4_delay = 2
patron5_type = 0
patron5_num = 1
patron5_delay = 2
patron6_type = 1
patron6_num = 4
patron6_delay = 2
patron7_type = 0
patron7_num = 1
patron7_delay = 5

[level_5]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 7
patron0_type = 0
patron0_num = 1
patron0_delay = 2
patron1_type = 1
patron1_num = 1
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 2
patron3_type = 1
patron3_num = 3
patron3_delay = 2
patron4_type = 0
patron4_num = 2
patron4_delay = 10
patron5_type = 1
patron5_num = 4
patron5_delay = 2
patron6_type = 0
patron6_num = 3
patron6_delay = 5

[level_6]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 9
patron0_type = 1
patron0_num = 2
patron0_delay = 2
patron1_type = 0
patron1_num = 1
patron1_delay = 2
patron2_type = 1
patron2_num = 4
patron2_delay = 2
patron3_type = 0
patron3_num = 1
patron3_delay = 2
patron4_type = 1
patron4_num = 2
patron4_delay = 10
patron5_type = 0
patron5_num = 3
patron5_delay = 2
patron6_type = 1
patron6_num = 3
patron6_delay = 2
patron7_type = 0
patron7_num = 4
patron7_delay = 2
patron8_type = 1
patron8_num = 1
patron8_delay = 5

[level_7]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 7
patron0_type = 0
patron0_num = 1
patron0_delay = 2
patron1_type = 1
patron1_num = 1
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 2
patron3_type = 1
patron3_num = 3
patron3_delay = 2
patron4_type = 0
patron4_num = 2
patron4_delay = 2
patron5_type = 1
patron5_num = 4
patron5_delay = 5
patron6_type = 0
patron6_num = 3
patron6_delay = 5

[level_8]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 9
patron0_type = 2
patron0_num = 1
patron0_delay = 3
patron1_type = 1
patron1_num = 1
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 2
patron3_type = 1
patron3_num = 3
patron3_delay = 2
patron4_type = 0
patron4_num = 2
patron4_delay = 2
patron5_type = 1
patron5_num = 4
patron5_delay = 5
patron6_type = 0
patron6_num = 3
patron6_delay = 5
patron7_type = 2
patron7_num = 2
patron7_delay = 2
patron8_type = 2
patron8_num = 3
patron8_delay = 5

[level_9]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 11
patron0_type = 2
patron0_num = 2
patron0_delay = 2
patron1_type = 2
patron1_num = 1
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 2
patron3_type = 1
patron3_num = 3
patron3_delay = 2
patron4_type = 0
patron4_num = 2
patron4_delay = 2
patron5_type = 1
patron5_num = 4
patron5_delay = 5
patron6_type = 2
patron6_num = 1
patron6_delay = 2
patron7_type = 2
patron7_num = 2
patron7_delay = 2
patron8_type = 2
patron8_num = 3
patron8_delay = 2
patron9_type = 1
patron9_num = 2
patron9_delay = 2
patron10_type = 2
patron10_num = 4
patron10_delay = 5

[level_10]
bronze = 0;
silver = 0;
gold = 0;
num_patrons = 15
patron0_type = 1
patron0_num = 2
patron0_delay = 1
patron1_type = 2
patron1_num = 1
patron1_delay = 2
patron2_type = 0
patron2_num = 4
patron2_delay = 1
patron3_type = 1
patron3_num = 3
patron3_delay = 1
patron4_type = 0
patron4_num = 2
patron4_delay = 1
patron5_type = 1
patron5_num = 4
patron5_delay = 4
patron6_type = 2
patron6_num = 1
patron6_delay = 2
patron7_type = 2
patron7_num = 2
patron7_delay = 1
patron8_type = 2
patron8_num = 3
patron8_delay = 1
patron9_type = 1
patron9_num = 2
patron9_delay = 2
patron10_type = 2
patron10_num = 4
patron10_delay = 1
patron11_type = 0
patron11_num = 3
patron11_delay = 5
patron12_type = 1
patron12_num = 2
patron12_delay = 1
patron13_type = 2
patron13_num = 3
patron13_delay = 2
patron14_type = 2
patron14_num = 4
patron14_delay = 5
